lang,set,no,name,domain,bunya,applies_to,n_checkpoints,has_related_laws,n_evidence,n_defect_cases,path
ko,별표7,2.3.1,외부자 현황 관리,보호대책 요구사항,외부자 보안,ISMS/ISMS-P,2,Y,4,2,docs/ko/annex7/2.3.1.md
ko,별표7,2.3.2,외부자 계약 시 보안,보호대책 요구사항,외부자 보안,ISMS/ISMS-P,3,Y,4,3,docs/ko/annex7/2.3.2.md
ko,별표7,2.3.3,외부자 보안 이행 관리,보호대책 요구사항,외부자 보안,ISMS/ISMS-P,3,Y,4,5,docs/ko/annex7/2.3.3.md
ko,별표7,2.3.4,외부자 계약 변경 및 만료 시 보안,보호대책 요구사항,외부자 보안,ISMS/ISMS-P,2,Y,4,3,docs/ko/annex7/2.3.4.md
ko,별표7,2.4.1,보호구역 지정,보호대책 요구사항,물리 보안,ISMS/ISMS-P,2,Y,4,2,docs/ko/annex7/2.4.1.md
ko,별표7,2.4.2,출입통제,보호대책 요구사항,물리 보안,ISMS/ISMS-P,2,Y,4,3,docs/ko/annex7/2.4.2.md
ko,별표7,2.4.3,정보시스템 보호,보호대책 요구사항,물리 보안,ISMS/ISMS-P,3,N,3,2,docs/ko/annex7/2.4.3.md
ko,별표7,2.4.4,보호설비 운영,보호대책 요구사항,물리 보안,ISMS/ISMS-P,2,Y,3,3,docs/ko/annex7/2.4.4.md
ko,별표7,2.4.5,보호구역 내 작업,보호대책 요구사항,물리 보안,ISMS/ISMS-P,2,N,3,2,docs/ko/annex7/2.4.5.md
ko,별표7,2.4.6,반출입 기기 통제,보호대책 요구사항,물리 보안,ISMS/ISMS-P,2,Y,3,2,docs/ko/annex7/2.4.6.md
ko,별표7,2.4.7,업무환경 보안,보호대책 요구사항,물리 보안,ISMS/ISMS-P,4,Y,4,4,docs/ko/annex7/2.4.7.md
ko,별표7,2.5.1,사용자 계정 관리,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,3,Y,4,3,docs/ko/annex7/2.5.1.md
ko,별표7,2.5.2,사용자 식별,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,2,Y,3,3,docs/ko/annex7/2.5.2.md
ko,별표7,2.5.3,사용자 인증,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,2,Y,4,2,docs/ko/annex7/2.5.3.md
ko,별표7,2.5.4,비밀번호 관리,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,3,Y,2,3,docs/ko/annex7/2.5.4.md
ko,별표7,2.5.5,특수 계정 및 권한 관리,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,2,Y,4,4,docs/ko/annex7/2.5.5.md
ko,별표7,2.5.6,접근권한 검토,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,3,Y,3,3,docs/ko/annex7/2.5.6.md
ko,별표7,2.6.1,네트워크 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,4,Y,4,5,docs/ko/annex7/2.6.1.md
ko,별표7,2.6.2,정보시스템 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7/2.6.2.md
ko,별표7,2.6.3,응용프로그램 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,5,Y,9,7,docs/ko/annex7/2.6.3.md
ko,별표7,2.6.4,데이터베이스 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,2,Y,5,5,docs/ko/annex7/2.6.4.md
ko,별표7,2.6.5,무선 네트워크 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,3,Y,4,3,docs/ko/annex7/2.6.5.md
ko,별표7,2.6.6,원격접근 통제,보호대책 요구사항,접근통제,ISMS/ISMS-P,4,Y,7,4,docs/ko/annex7/2.6.6.md
ko,별표7,2.6.7,인터넷 접속 통제,보호대책 요구사항,접근통제,ISMS/ISMS-P,3,Y,5,5,docs/ko/annex7/2.6.7.md
ko,별표7,2.7.1,암호정책 적용,보호대책 요구사항,암호화 적용,ISMS/ISMS-P,2,Y,4,5,docs/ko/annex7/2.7.1.md
ko,별표7,2.7.2,암호키 관리,보호대책 요구사항,암호화 적용,ISMS/ISMS-P,2,Y,2,3,docs/ko/annex7/2.7.2.md
ko,별표7,2.8.1,보안 요구사항 정의,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,3,N,4,4,docs/ko/annex7/2.8.1.md
ko,별표7,2.8.2,보안 요구사항 검토 및 시험,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,4,Y,6,6,docs/ko/annex7/2.8.2.md
ko,별표7,2.8.3,시험과 운영 환경 분리,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,2,N,2,3,docs/ko/annex7/2.8.3.md
ko,별표7,2.8.4,시험 데이터 보안,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,2,N,3,4,docs/ko/annex7/2.8.4.md
ko,별표7,2.8.5,소스 프로그램 관리,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,3,N,2,3,docs/ko/annex7/2.8.5.md
ko,별표7,2.8.6,운영환경 이관,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,3,N,2,4,docs/ko/annex7/2.8.6.md
ko,별표7,2.9.1,변경관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,2,N,3,3,docs/ko/annex7/2.9.1.md
ko,별표7,2.9.2,성능 및 장애관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,5,N,4,4,docs/ko/annex7/2.9.2.md
ko,별표7,2.9.3,백업 및 복구관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,3,Y,3,4,docs/ko/annex7/2.9.3.md
ko,별표7,2.9.4,로그 및 접속기록 관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,3,Y,4,6,docs/ko/annex7/2.9.4.md
ko,별표7,2.9.5,로그 및 접속기록 점검,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,3,Y,5,4,docs/ko/annex7/2.9.5.md
ko,별표7,2.9.6,시간 동기화,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,2,N,2,2,docs/ko/annex7/2.9.6.md
ko,별표7,2.9.7,정보자산의 재사용 및 폐기,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,5,Y,4,4,docs/ko/annex7/2.9.7.md
ko,별표7,2.10.1,보안시스템 운영,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,6,Y,8,4,docs/ko/annex7/2.10.1.md
ko,별표7,2.10.2,클라우드 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,N,7,4,docs/ko/annex7/2.10.2.md
ko,별표7,2.10.3,공개서버 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,N,3,3,docs/ko/annex7/2.10.3.md
ko,별표7,2.10.4,전자거래 및 핀테크 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,2,N,2,3,docs/ko/annex7/2.10.4.md
ko,별표7,2.10.5,정보전송 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,2,N,3,2,docs/ko/annex7/2.10.5.md
ko,별표7,2.10.6,업무용 단말기기 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7/2.10.6.md
ko,별표7,2.10.7,보조저장매체 관리,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,5,Y,3,4,docs/ko/annex7/2.10.7.md
ko,별표7,2.10.8,패치관리,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,5,Y,3,3,docs/ko/annex7/2.10.8.md
ko,별표7,2.10.9,악성코드 통제,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,Y,4,4,docs/ko/annex7/2.10.9.md
ko,별표7,2.11.1,사고 예방 및 대응체계 구축,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,3,Y,3,6,docs/ko/annex7/2.11.1.md
ko,별표7,2.11.2,취약점 점검 및 조치,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,4,Y,6,2,docs/ko/annex7/2.11.2.md
ko,별표7,2.11.3,이상행위 분석 및 모니터링,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,2,Y,2,3,docs/ko/annex7/2.11.3.md
ko,별표7,2.11.4,사고 대응 훈련 및 개선,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,2,N,3,3,docs/ko/annex7/2.11.4.md
ko,별표7,2.11.5,사고 대응 및 복구,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7/2.11.5.md
ko,별표7,2.12.1,재해/재난 대비 안전조치,보호대책 요구사항,재해복구,ISMS/ISMS-P,3,Y,4,5,docs/ko/annex7/2.12.1.md
ko,별표7,2.12.2,재해 복구 시험 및 개선,보호대책 요구사항,재해복구,ISMS/ISMS-P,2,N,3,3,docs/ko/annex7/2.12.2.md
ko,별표7,3.1.1,개인정보 수집/이용,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,9,Y,5,9,docs/ko/annex7/3.1.1.md
ko,별표7,3.1.2,개인정보 수집 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,3,5,docs/ko/annex7/3.1.2.md
ko,별표7,3.1.3,주민등록번호 처리 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,4,6,docs/ko/annex7/3.1.3.md
ko,별표7,3.1.4,민감정보 및 고유식별정보의 처리 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,3,3,docs/ko/annex7/3.1.4.md
ko,별표7,3.1.5,개인정보 간접수집,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,6,Y,3,4,docs/ko/annex7/3.1.5.md
ko,별표7,3.1.6,영상정보처리기기 설치/운영,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,8,Y,5,4,docs/ko/annex7/3.1.6.md
ko,별표7,3.1.7,마케팅 목적의 개인정보 수집/이용,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,4,Y,7,5,docs/ko/annex7/3.1.7.md
ko,별표7,3.2.1,개인정보 현황관리,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,3,Y,5,4,docs/ko/annex7/3.2.1.md
ko,별표7,3.2.2,개인정보 품질보장,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,2,Y,2,2,docs/ko/annex7/3.2.2.md
ko,별표7,3.2.3,이용자 단말기 접근 보호,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,3,Y,2,4,docs/ko/annex7/3.2.3.md
ko,별표7,3.2.4,개인정보 목적 외 이용 및 제공,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,6,Y,5,4,docs/ko/annex7/3.2.4.md
ko,별표7,3.2.5,가명정보 처리,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,6,Y,3,4,docs/ko/annex7/3.2.5.md
ko,별표7,3.3.1,개인정보 제3자 제공,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,7,Y,4,5,docs/ko/annex7/3.3.1.md
ko,별표7,3.3.2,개인정보 처리 업무 위탁,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,2,Y,4,4,docs/ko/annex7/3.3.2.md
ko,별표7,3.3.3,영업의 양도 등에 따른 개인정보 이전,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,3,Y,2,2,docs/ko/annex7/3.3.3.md
ko,별표7,3.3.4,개인정보 국외이전,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,4,Y,4,3,docs/ko/annex7/3.3.4.md
ko,별표7,3.4.1,개인정보 파기,개인정보 처리단계별 요구사항,개인정보 파기 시 보호조치,ISMS-P,4,Y,3,4,docs/ko/annex7/3.4.1.md
ko,별표7,3.4.2,처리목적 달성 후 보유 시 조치,개인정보 처리단계별 요구사항,개인정보 파기 시 보호조치,ISMS-P,4,Y,3,4,docs/ko/annex7/3.4.2.md
ko,별표7,3.5.1,개인정보 처리방침 공개,개인정보 처리단계별 요구사항,정보주체 권리보호,ISMS-P,3,Y,2,5,docs/ko/annex7/3.5.1.md
ko,별표7,3.5.2,정보주체 권리보장,개인정보 처리단계별 요구사항,정보주체 권리보호,ISMS-P,6,Y,4,6,docs/ko/annex7/3.5.2.md
ko,별표7,3.5.3,정보주체에 대한 통지,개인정보 처리단계별 요구사항,정보주체 권리보호,ISMS-P,2,Y,2,2,docs/ko/annex7/3.5.3.md
ko,별표7의2,1.1.1,경영진의 참여,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,2,N,5,2,docs/ko/annex7-2/1.1.1.md
ko,별표7의2,1.1.2,최고 책임자의 지정,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,2,Y,6,4,docs/ko/annex7-2/1.1.2.md
ko,별표7의2,1.1.3,조직 구성,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,1,Y,5,4,docs/ko/annex7-2/1.1.3.md
ko,별표7의2,1.1.4,범위 설정,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,3,N,7,3,docs/ko/annex7-2/1.1.4.md
ko,별표7의2,1.1.5,정책 수립,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,4,Y,5,3,docs/ko/annex7-2/1.1.5.md
ko,별표7의2,1.2.1,정보자산 식별,관리체계 수립 및 운영,위험 관리,ISMS/ISMS-P,3,N,5,5,docs/ko/annex7-2/1.2.1.md
ko,별표7의2,1.3.1,운영현황 관리,관리체계 수립 및 운영,관리체계 운영,ISMS/ISMS-P,2,Y,3,2,docs/ko/annex7-2/1.3.1.md
ko,별표7의2,1.4.1,관리체계 점검,관리체계 수립 및 운영,관리체계 점검 및 개선,ISMS/ISMS-P,2,Y,3,3,docs/ko/annex7-2/1.4.1.md
ko,별표7의2,2.1.1,보안 서약,보호대책 요구사항,인적 보안,ISMS/ISMS-P,4,N,2,4,docs/ko/annex7-2/2.1.1.md
ko,별표7의2,2.1.2,인식제고 및 교육훈련,보호대책 요구사항,인적 보안,ISMS/ISMS-P,5,Y,4,6,docs/ko/annex7-2/2.1.2.md
ko,별표7의2,2.2.1,외부자 계약 시 보안,보호대책 요구사항,외부자 보안,ISMS/ISMS-P,3,Y,4,3,docs/ko/annex7-2/2.2.1.md
ko,별표7의2,2.3.1,보호구역 지정,보호대책 요구사항,물리 보안,ISMS/ISMS-P,4,Y,4,2,docs/ko/annex7-2/2.3.1.md
ko,별표7의2,2.3.2,정보시스템 보호,보호대책 요구사항,물리 보안,ISMS/ISMS-P,3,N,3,2,docs/ko/annex7-2/2.3.2.md
ko,별표7의2,2.3.3,반출입 기기 통제,보호대책 요구사항,물리 보안,ISMS/ISMS-P,4,Y,3,2,docs/ko/annex7-2/2.3.3.md
ko,별표7의2,2.3.4,업무환경 보안,보호대책 요구사항,물리 보안,ISMS/ISMS-P,4,Y,4,4,docs/ko/annex7-2/2.3.4.md
ko,별표7의2,2.4.1,사용자 계정 관리,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,3,Y,4,3,docs/ko/annex7-2/2.4.1.md
ko,별표7의2,2.4.2,사용자 식별,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,2,Y,3,3,docs/ko/annex7-2/2.4.2.md
ko,별표7의2,2.4.3,사용자 인증,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,2,Y,4,2,docs/ko/annex7-2/2.4.3.md
ko,별표7의2,2.4.4,비밀번호 관리,보호대책 요구사항,인증 및 권한관리,ISMS/ISMS-P,3,Y,2,3,docs/ko/annex7-2/2.4.4.md
ko,별표7의2,2.5.1,네트워크 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,7,Y,4,5,docs/ko/annex7-2/2.5.1.md
ko,별표7의2,2.5.2,정보시스템 접근,보호대책 요구사항,접근통제,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7-2/2.5.2.md
ko,별표7의2,2.5.3,원격접근 통제,보호대책 요구사항,접근통제,ISMS/ISMS-P,4,Y,7,4,docs/ko/annex7-2/2.5.3.md
ko,별표7의2,2.5.4,인터넷 접속 통제,보호대책 요구사항,접근통제,ISMS/ISMS-P,3,Y,5,5,docs/ko/annex7-2/2.5.4.md
ko,별표7의2,2.6.1,암호정책 적용,보호대책 요구사항,암호화 적용,ISMS/ISMS-P,4,Y,4,5,docs/ko/annex7-2/2.6.1.md
ko,별표7의2,2.7.1,보안 요구사항 정의,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,3,N,4,4,docs/ko/annex7-2/2.7.1.md
ko,별표7의2,2.7.2,시험과 운영 환경 분리,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,2,N,2,3,docs/ko/annex7-2/2.7.2.md
ko,별표7의2,2.7.3,시험 데이터 보안,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,2,N,3,4,docs/ko/annex7-2/2.7.3.md
ko,별표7의2,2.7.4,소스 프로그램 관리,보호대책 요구사항,정보시스템 도입 및 개발 보안,ISMS/ISMS-P,3,N,2,3,docs/ko/annex7-2/2.7.4.md
ko,별표7의2,2.8.1,변경관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,2,N,3,3,docs/ko/annex7-2/2.8.1.md
ko,별표7의2,2.8.2,백업 및 복구관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,3,Y,3,4,docs/ko/annex7-2/2.8.2.md
ko,별표7의2,2.8.3,로그 및 접속기록 관리,보호대책 요구사항,시스템 및 서비스 운영관리,ISMS/ISMS-P,6,Y,4,6,docs/ko/annex7-2/2.8.3.md
ko,별표7의2,2.9.1,보안시스템 운영,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,6,Y,8,4,docs/ko/annex7-2/2.9.1.md
ko,별표7의2,2.9.2,클라우드 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,N,7,4,docs/ko/annex7-2/2.9.2.md
ko,별표7의2,2.9.3,공개서버 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,N,3,3,docs/ko/annex7-2/2.9.3.md
ko,별표7의2,2.9.4,업무용 단말기기 보안,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7-2/2.9.4.md
ko,별표7의2,2.9.5,보조저장매체 관리,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,5,Y,3,4,docs/ko/annex7-2/2.9.5.md
ko,별표7의2,2.9.6,패치관리,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,5,Y,3,3,docs/ko/annex7-2/2.9.6.md
ko,별표7의2,2.9.7,악성코드 통제,보호대책 요구사항,시스템 및 서비스 보안관리,ISMS/ISMS-P,4,Y,4,4,docs/ko/annex7-2/2.9.7.md
ko,별표7의2,2.10.1,사고 예방 및 대응체계 구축,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,2,Y,3,6,docs/ko/annex7-2/2.10.1.md
ko,별표7의2,2.10.2,취약점 점검 및 조치,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,4,Y,6,2,docs/ko/annex7-2/2.10.2.md
ko,별표7의2,2.10.3,사고 대응 및 복구,보호대책 요구사항,사고 예방 및 대응,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7-2/2.10.3.md
ko,별표7의2,3.1.1,개인정보 수집/이용,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,9,Y,5,9,docs/ko/annex7-2/3.1.1.md
ko,별표7의2,3.1.2,개인정보 수집 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,3,5,docs/ko/annex7-2/3.1.2.md
ko,별표7의2,3.1.3,주민등록번호 처리 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,4,6,docs/ko/annex7-2/3.1.3.md
ko,별표7의2,3.1.4,민감정보 및 고유식별정보의 처리 제한,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,3,Y,3,3,docs/ko/annex7-2/3.1.4.md
ko,별표7의2,3.1.5,개인정보 간접수집,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,6,Y,3,4,docs/ko/annex7-2/3.1.5.md
ko,별표7의2,3.1.6,영상정보처리기기 설치/운영,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,8,Y,5,4,docs/ko/annex7-2/3.1.6.md
ko,별표7의2,3.1.7,마케팅 목적의 개인정보 수집/이용,개인정보 처리단계별 요구사항,개인정보 수집 시 보호조치,ISMS-P,4,Y,7,5,docs/ko/annex7-2/3.1.7.md
ko,별표7의2,3.2.1,개인정보 현황관리,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,3,Y,5,4,docs/ko/annex7-2/3.2.1.md
ko,별표7의2,3.2.2,개인정보 품질보장,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,2,Y,2,2,docs/ko/annex7-2/3.2.2.md
ko,별표7의2,3.2.3,이용자 단말기 접근 보호,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,3,Y,2,4,docs/ko/annex7-2/3.2.3.md
ko,별표7의2,3.2.4,개인정보 목적 외 이용 및 제공,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,6,Y,5,4,docs/ko/annex7-2/3.2.4.md
ko,별표7의2,3.2.5,가명정보 처리,개인정보 처리단계별 요구사항,개인정보 보유 및 이용 시 보호조치,ISMS-P,6,Y,3,4,docs/ko/annex7-2/3.2.5.md
ko,별표7의2,3.3.1,개인정보 제3자 제공,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,7,Y,4,5,docs/ko/annex7-2/3.3.1.md
ko,별표7의2,3.3.2,개인정보 처리 업무 위탁,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,2,Y,4,4,docs/ko/annex7-2/3.3.2.md
ko,별표7의2,3.3.3,영업의 양도 등에 따른 개인정보 이전,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,3,Y,2,2,docs/ko/annex7-2/3.3.3.md
ko,별표7의2,3.3.4,개인정보 국외이전,개인정보 처리단계별 요구사항,개인정보 제공 시 보호조치,ISMS-P,4,Y,4,3,docs/ko/annex7-2/3.3.4.md
ko,별표7의2,3.4.1,개인정보 파기,개인정보 처리단계별 요구사항,개인정보 파기 시 보호조치,ISMS-P,4,Y,3,4,docs/ko/annex7-2/3.4.1.md
ko,별표7의2,3.4.2,처리목적 달성 후 보유 시 조치,개인정보 처리단계별 요구사항,개인정보 파기 시 보호조치,ISMS-P,4,Y,3,4,docs/ko/annex7-2/3.4.2.md
ko,별표7의2,3.5.1,개인정보 처리방침 공개,개인정보 처리단계별 요구사항,정보주체 권리보호,ISMS-P,3,Y,2,5,docs/ko/annex7-2/3.5.1.md
